Catégorie,Prompt,Langue,LOC
Performance Financière & Stratégie,Outline Safran's acquisition strategy.,Anglais,
Performance Financière & Stratégie,Présente la stratégie d'acquisition de Safran.,Français,
Performance Financière & Stratégie,"Analyse Safran’s annual financial results and profitability indicators for 2025, including operating margin and ROE, and compare them with those of its main competitors.",Anglais,
Performance Financière & Stratégie,"Analyse les résultats financiers annuels et les indicateurs de rentabilité (marge opérationnelle, ROE) de Safran pour 2025 et compare les à ceux de ses principaux concurrents",Français,
Performance Financière & Stratégie,What are the business activities of the Safran Group?,Anglais,
Performance Financière & Stratégie,Quelles sont les activités du groupe Safran ?,Français,
Performance Financière & Stratégie,List and rank the leading companies in the global aerospace industry today.,Anglais,
Performance Financière & Stratégie,Liste et classe les entreprises leaders de l’aéronautique mondiale aujourd’hui,Français,
Performance Financière & Stratégie,Who are the key players in the defence market?,Anglais,
Performance Financière & Stratégie,Quels sont les acteurs sur le marché européen de la défense ?,Français,
Performance Financière & Stratégie,How is Olivier Andriès perceived?,Anglais,
Performance Financière & Stratégie,Quelle est la réputation d'Olivier Andriès ?,Français,
Performance Financière & Stratégie,Safran vs GE Aerospace: competitive analysis for investors.,Anglais,
Décarbonation & Environnement,Which aerospace manufacturers are the most committed to CSR in the UK?,Anglais,http://oewqfxhy:4flfjfrh90yd@151.245.207.14:8309
Décarbonation & Environnement,Quels sont les industriels aéronatiques les plus engagés en termes de RSE ?,Français,
Décarbonation & Environnement,"Is the net-zero 2050 target for aviation achievable? In your opinion, how?",Anglais,
Décarbonation & Environnement,"L'objectif zero émission nette en 2050 pour l'aviation est-il atteignable ? A ton avis, comment ?",Français,
Décarbonation & Environnement,Quelle est la stratégie RSE/Climat de Safran ? Compare la à celle de ses concurrents,Français,
Décarbonation & Environnement,Check Safran’s environmental commitments. What criticisms have NGOs or associations raised?,Anglais,"http://oewqfxhy:4flfjfrh90yd@151.245.207.14:8309
"
Décarbonation & Environnement,Vérifie les engagements de Safran sur les sujets environnementaux. Quelles sont les critiques des ONG/associations ?,Français,
Décarbonation & Environnement,What are the most promising innovations for decarbonising aviation?,Anglais,
Décarbonation & Environnement,Quelles sont les innovations les plus prometteuses pour décarboner l’aviation ?,Français,
Décarbonation & Environnement,What is Safran’s environmental impact?,Anglais,
Décarbonation & Environnement,Quel est l'impact environemental de Safran ?,Français,
"Souveraineté, défense, espace",Which companies underpin Europe’s strategic autonomy?,Anglais,
"Souveraineté, défense, espace",Sur quelles entreprises repose l'autonomie stratégique de Europe ?,Français,
"Souveraineté, défense, espace",What are Safran's defense products?,Anglais,
"Souveraineté, défense, espace",Quels sont les produits de Safran dans la défense ?,Français,
"Souveraineté, défense, espace",What are the main products of the European defense industry?,Anglais,
"Souveraineté, défense, espace",Quelles sont les principaux produits de l'industrie de défense française ?,Français,
